experiment,cost_mean,cost_std,p2p_volume_mean,p2p_volume_std,voltage_violation_rate_mean,voltage_violation_rate_std,thermal_violation_rate_mean,thermal_violation_rate_std,p2p_utilisation_mean,p2p_utilisation_std,campus_welfare_mean,campus_welfare_std,grid_import_mean,grid_import_std,grid_export_mean,grid_export_std,episode_return_mean,episode_return_std,battery_cycles_mean,battery_cycles_std,cost_reduction_pct
grid_only,302283.67928572895,0.0,0.0,0.0,0.04585798816568047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51265.402280606395,0.0,32452.064410453127,0.0,-522.6050556771619,3.8131724593878115e-13,0.0,0.0,0.0
heuristic,270099.1219024383,0.0,7327.2326620109,0.0,0.04585798816568047,0.0,0.0,0.0,0.9872053614945898,0.0,41618.681520221915,0.0,44128.39950914086,0.0,25153.745532881934,0.0,-353.8299889510454,6.1682312702404e-13,4.802602912299335,0.0,10.647136973898188
no_battery,269479.7000096074,0.0,7146.836443599462,0.0,0.04585798816568047,0.0,0.0,0.0,0.9665279081989102,0.0,40594.03099964494,0.0,44118.565837006936,0.0,25305.22796685367,0.0,-357.63348454451386,8.402449508988913e-13,0.0,0.0,10.852051077859908
random,291216.68528976507,393.6282936569708,3911.7684691232535,18.972139268635445,0.0449112426035503,0.00032409618787287834,0.0,0.0,0.5252440106657195,0.002853097894206488,22218.84490462008,107.76175104584861,48461.92944892668,71.10966077167745,29142.707786232415,54.780741167611815,-443.1022349244592,2.1288645730037428,6.408242656588554,0.1467171478224058,3.66112852077038
trained,269764.4511021637,0.0,8651.275368908045,0.0,0.04319526627218935,0.0,0.0,0.0,1.1939567848574213,0.0,49139.2440953977,0.0,44158.382114498796,0.0,25316.39413792176,0.0,-315.00334895362,8.474903634483612e-10,4.333045027591288,0.0,10.757851121967771
