experiment,seed,episode_id,timestep,timestamp,agent_id,agent_type,demand_kw,solar_kw,p2p_bought_kw,p2p_sold_kw,grid_bought_kw,grid_sold_kw,net_cost,voltage_violation,thermal_violation,battery_soc,reward
no_battery,1024,0,1,2019-03-01 01:00:00,solar_11,solar,8.325804541973666,0.0,0.0,0.0,8.325804580722794,0.0,67.85530733289077,False,False,0.0,-0.126142820488808
no_battery,1024,0,1,2019-03-01 01:00:00,solar_12,solar,8.501411539278005,0.0,0.0,0.0,8.501411516096283,0.0,69.28650385618471,False,False,0.0,-0.1288034106949121
no_battery,1024,0,1,2019-03-01 01:00:00,solar_13,solar,14.601232035518551,0.0,0.0,0.0,14.601231638990054,0.0,119.00003785776894,False,False,0.0,-0.2212207269213529
no_battery,1024,0,1,2019-03-01 01:00:00,solar_14,solar,19.77937726017567,0.0,0.0,0.0,19.779376850935336,0.0,161.201921335123,False,False,0.0,-0.2996739065032701
no_battery,1024,0,1,2019-03-01 01:00:00,solar_15,solar,19.570521844226377,0.0,0.0,0.0,19.57052148114913,0.0,159.4997500713654,False,False,0.0,-0.2965095750367276
no_battery,1024,0,1,2019-03-01 01:00:00,consumer_01,consumer,3.4816370078300323,0.0,0.0,0.0,5.232985757563699,0.0,42.64883392414415,False,False,0.0,-0.0792840591725179
no_battery,1024,0,1,2019-03-01 01:00:00,consumer_02,consumer,4.861704591130245,0.0,0.0,0.0,4.861704518864472,0.0,39.622891828745445,False,False,0.0,-0.07365884155060333
no_battery,1024,0,1,2019-03-01 01:00:00,consumer_03,consumer,3.743781445605037,0.0,0.0,0.0,3.743781532545215,0.0,30.511819490243504,False,False,0.0,-0.056721384369577375
no_battery,1024,0,1,2019-03-01 01:00:00,consumer_04,consumer,4.852279739157506,0.0,0.0,0.0,4.852279901278876,0.0,39.546081195422836,False,False,0.0,-0.07351605080494637
no_battery,1024,0,1,2019-03-01 01:00:00,consumer_05,consumer,5.683527403771149,0.0,0.0,0.0,5.683527686010656,0.0,46.32075064098685,False,False,0.0,-0.08611014175129399
no_battery,1024,0,2,2019-03-01 02:00:00,college,college,19.01099939006567,0.0,0.0,0.0,19.011,0.0,154.93965,False,False,0.5,-0.28803236216535616
no_battery,1024,0,2,2019-03-01 02:00:00,solar_01,solar,11.362900469288814,0.0,0.0,0.0,11.362900636656068,0.0,92.60764018874696,False,False,0.0,-0.17215733582800885
no_battery,1024,0,2,2019-03-01 02:00:00,solar_02,solar,7.2586273945123905,0.0,0.0,0.0,7.258627325020334,0.0,59.15781269891573,False,False,0.0,-0.10997420306683536
no_battery,1024,0,2,2019-03-01 02:00:00,solar_03,solar,11.62171980425091,0.0,0.0,0.0,11.62171951384496,0.0,94.71701403783644,False,False,0.0,-0.176078655725421
no_battery,1024,0,2,2019-03-01 02:00:00,solar_04,solar,14.834022459841355,0.0,0.0,0.0,14.834023167328853,0.0,120.89728881373016,False,False,0.0,-0.2247477109726657
no_battery,1024,0,2,2019-03-01 02:00:00,solar_05,solar,11.517268280612596,0.0,0.0,0.0,11.517267983717899,0.0,93.86573406730088,False,False,0.0,-0.1744961287171477
no_battery,1024,0,2,2019-03-01 02:00:00,solar_06,solar,10.048860546285402,0.0,0.0,0.0,10.048860313127545,0.0,81.89821155198949,False,False,0.0,-0.1522485389016794
no_battery,1024,0,2,2019-03-01 02:00:00,solar_07,solar,8.457117442853917,6.3282276565338815,0.0,0.0,8.457117348746667,0.0,68.92550639228534,False,False,0.0,-0.128132317451429
no_battery,1024,0,2,2019-03-01 02:00:00,solar_08,solar,12.273353962680492,0.0,0.0,0.0,18.4471528845192,0.0,150.34429600883146,False,False,0.0,-0.27948961235882
no_battery,1024,0,2,2019-03-01 02:00:00,solar_09,solar,15.579841876263808,0.0,0.0,0.0,15.579841904967319,0.0,126.97571152548366,False,False,0.0,-0.23604748125035713
no_battery,1024,0,2,2019-03-01 02:00:00,solar_10,solar,11.50190896182833,0.0,0.0,0.0,11.501909366229564,0.0,93.74056133477094,False,False,0.0,-0.17426343296864633
no_battery,1024,0,2,2019-03-01 02:00:00,solar_11,solar,5.53936691069972,0.0,0.0,0.0,8.325804580722794,0.0,67.85530733289077,False,False,0.0,-0.126142820488808
no_battery,1024,0,2,2019-03-01 02:00:00,solar_12,solar,8.501411539278005,0.0,0.0,0.0,8.501411516096283,0.0,69.28650385618471,False,False,0.0,-0.1288034106949121
no_battery,1024,0,2,2019-03-01 02:00:00,solar_13,solar,14.601232035518551,0.0,0.0,0.0,14.601231638990054,0.0,119.00003785776894,False,False,0.0,-0.2212207269213529
no_battery,1024,0,2,2019-03-01 02:00:00,solar_14,solar,19.77937726017567,0.0,0.0,0.0,19.779376850935336,0.0,161.201921335123,False,False,0.0,-0.2996739065032701
no_battery,1024,0,2,2019-03-01 02:00:00,solar_15,solar,19.570521844226377,0.0,0.0,0.0,19.57052148114913,0.0,159.4997500713654,False,False,0.0,-0.2965095750367276
no_battery,1024,0,2,2019-03-01 02:00:00,consumer_01,consumer,3.4816370078300323,0.0,0.0,0.0,3.481636880977234,0.0,28.37534057996446,False,False,0.0,-0.05274967624164408
no_battery,1024,0,2,2019-03-01 02:00:00,consumer_02,consumer,4.861704591130245,0.0,0.0,0.0,4.861704518864472,0.0,39.622891828745445,False,False,0.0,-0.07365884155060333
no_battery,1024,0,2,2019-03-01 02:00:00,consumer_03,consumer,3.743781445605037,0.0,0.0,0.0,3.743781532545215,0.0,30.511819490243504,False,False,0.0,-0.056721384369577375
no_battery,1024,0,2,2019-03-01 02:00:00,consumer_04,consumer,4.852279739157506,0.0,0.0,0.0,4.852279901278876,0.0,39.546081195422836,False,False,0.0,-0.07351605080494637
no_battery,1024,0,2,2019-03-01 02:00:00,consumer_05,consumer,5.683527403771149,0.0,0.0,0.0,5.683527686010656,0.0,46.32075064098685,False,False,0.0,-0.08611014175129399
no_battery,1024,0,3,2019-03-01 03:00:00,college,college,19.01099939006567,0.0,0.0,0.0,19.011,0.0,154.93965,False,False,0.5,-0.28803236216535616
no_battery,1024,0,3,2019-03-01 03:00:00,solar_01,solar,11.362900469288814,0.0,0.0,0.0,11.362900636656068,0.0,92.60764018874696,False,False,0.0,-0.17215733582800885
no_battery,1024,0,3,2019-03-01 03:00:00,solar_02,solar,7.2586273945123905,0.0,0.0,0.0,7.258627325020334,0.0,59.15781269891573,False,False,0.0,-0.10997420306683536
no_battery,1024,0,3,2019-03-01 03:00:00,solar_03,solar,11.62171980425091,0.0,0.0,0.0,11.62171951384496,0.0,94.71701403783644,False,False,0.0,-0.176078655725421
no_battery,1024,0,3,2019-03-01 03:00:00,solar_04,solar,14.834022459841355,0.0,0.0,0.0,14.834023167328853,0.0,120.89728881373016,False,False,0.0,-0.2247477109726657
no_battery,1024,0,3,2019-03-01 03:00:00,solar_05,solar,11.517268280612596,0.0,0.0,0.0,11.517267983717899,0.0,93.86573406730088,False,False,0.0,-0.1744961287171477
no_battery,1024,0,3,2019-03-01 03:00:00,solar_06,solar,10.048860546285402,0.0,0.0,0.0,10.048860313127545,0.0,81.89821155198949,False,False,0.0,-0.1522485389016794
no_battery,1024,0,3,2019-03-01 03:00:00,solar_07,solar,8.457117442853917,18.98468343929554,0.0,0.0,2.1288896094364933,0.0,17.35045031690742,False,False,0.0,0.017745562937495372
no_battery,1024,0,3,2019-03-01 03:00:00,solar_08,solar,12.273353962680492,0.0,0.0,0.0,12.27335422018599,0.0,100.02783689451581,False,False,0.0,-0.18595146008796554
no_battery,1024,0,3,2019-03-01 03:00:00,solar_09,solar,15.579841876263808,0.0,0.0,0.0,15.579841904967319,0.0,126.97571152548366,False,False,0.0,-0.23604748125035713
no_battery,1024,0,3,2019-03-01 03:00:00,solar_10,solar,11.50190896182833,0.0,0.0,0.0,11.501909366229564,0.0,93.74056133477094,False,False,0.0,-0.17426343296864633
no_battery,1024,0,3,2019-03-01 03:00:00,solar_11,solar,5.53936691069972,0.0,0.0,0.0,5.539366937919824,0.0,45.145840544046564,False,False,0.0,-0.08392598727209102
no_battery,1024,0,3,2019-03-01 03:00:00,solar_12,solar,8.501411539278005,0.0,0.0,0.0,8.501411516096283,0.0,69.28650385618471,False,False,0.0,-0.1288034106949121
no_battery,1024,0,3,2019-03-01 03:00:00,solar_13,solar,14.601232035518551,7.7995688997154655,0.0,0.0,14.601231638990054,0.0,119.00003785776894,False,False,0.0,-0.2212207269213529
no_battery,1024,0,3,2019-03-01 03:00:00,solar_14,solar,13.159716777346187,0.0,0.0,0.0,19.779376850935336,0.0,161.201921335123,False,False,0.0,-0.2996739065032701
no_battery,1024,0,3,2019-03-01 03:00:00,solar_15,solar,13.020759478497403,0.0,0.0,0.0,19.57052148114913,0.0,159.4997500713654,False,False,0.0,-0.2965095750367276
no_battery,1024,0,3,2019-03-01 03:00:00,consumer_01,consumer,3.4816370078300323,0.0,0.0,0.0,3.481636880977234,0.0,28.37534057996446,False,False,0.0,-0.05274967624164408
